stage,task_type,run_id,model_id,seed,fraction_code,status,elapsed_seconds,artifact_sha256,source_commit
week7,foundation_finetune,week7-m6-f100-seed29,M6,29,100,success,756.4809719,1140df1086dcb517901412de3ca2fb7bb3af1850d9f287e06b404e5b06fd00e5,4ac9af3644ce6dfe119fb0cb413151e6e20c58c7
week7,foundation_finetune,week7-m6-f100-seed43,M6,43,100,success,777.0147613,d77227aa0154ec4d00e69a7c51977c611965b89c9434f516b83948335d719c36,4ac9af3644ce6dfe119fb0cb413151e6e20c58c7
week8,frozen_evaluation,week5-m0-f01-seed17,M0,17,01,success,,,
week8,frozen_evaluation,week5-m0-f01-seed29,M0,29,01,success,,,
week8,frozen_evaluation,week5-m0-f01-seed43,M0,43,01,success,,,
week8,frozen_evaluation,week5-m0-f10-seed17,M0,17,10,success,,,
week8,frozen_evaluation,week5-m0-f10-seed29,M0,29,10,success,,,
week8,frozen_evaluation,week5-m0-f10-seed43,M0,43,10,success,,,
week8,frozen_evaluation,week5-m0-f100-seed17,M0,17,100,success,,,
week8,frozen_evaluation,week5-m0-f100-seed29,M0,29,100,success,,,
week8,frozen_evaluation,week5-m0-f100-seed43,M0,43,100,success,,,
week8,frozen_evaluation,week5-m1-f01-seed17,M1,17,01,success,,,
week8,frozen_evaluation,week5-m1-f01-seed29,M1,29,01,success,,,
week8,frozen_evaluation,week5-m1-f01-seed43,M1,43,01,success,,,
week8,frozen_evaluation,week5-m1-f10-seed17,M1,17,10,success,,,
week8,frozen_evaluation,week5-m1-f10-seed29,M1,29,10,success,,,
week8,frozen_evaluation,week5-m1-f10-seed43,M1,43,10,success,,,
week8,frozen_evaluation,week5-m1-f100-seed17,M1,17,100,success,,,
week8,frozen_evaluation,week5-m1-f100-seed29,M1,29,100,success,,,
